,target,in-sample-accuracy,out-of-sample-accuracy
0,1,0.5300813008130081,0.5298416565164433
1,2,0.5308943089430894,0.5639464068209501
2,3,0.8276422764227642,0.853836784409257
3,4,0.7878048780487805,0.758830694275274
4,5,0.5739837398373984,0.5566382460414129
5,6,0.5707317073170731,0.5517661388550548
6,7,0.540650406504065,0.5493300852618758
7,8,0.6113821138211382,0.6151035322777101
8,9,0.7268292682926829,0.7405602923264312
9,10,0.8357723577235773,0.8465286236297198
10,11,0.8276422764227642,0.853836784409257
11,12,0.7520325203252033,0.7539585870889159
12,13,0.5707317073170731,0.5517661388550548
13,14,0.9512195121951219,0.9585870889159561
14,15,0.7878048780487805,0.758830694275274
15,16,0.6796747967479675,0.6857490864799025
16,17,0.9227642276422764,0.904993909866017
17,18,0.5739837398373984,0.5566382460414129
18,19,0.5300813008130081,0.5298416565164433
19,20,0.5747967479674797,0.582216808769793
20,21,0.6658536585365854,0.6467722289890377
21,22,0.7658536585365854,0.7637028014616322
22,23,0.5747967479674797,0.582216808769793
23,24,0.5747967479674797,0.582216808769793
24,25,0.5747967479674797,0.582216808769793
25,26,0.5747967479674797,0.582216808769793
26,27,0.5691056910569106,0.5773447015834349
27,28,0.5691056910569106,0.5773447015834349
28,29,0.5691056910569106,0.5773447015834349
29,30,0.5691056910569106,0.5773447015834349
